feature,importance
Appliances_lag_1,0.6058548999000338
Appliances_lag_2,0.035659413889709606
Appliances_roll_mean_18,0.01817723476436153
Appliances_roll_std_18,0.01557690082910468
Appliances_roll_std_6,0.014691717388699078
NSM,0.013386315243713537
Appliances_lag_3,0.012912185543648445
Appliances_roll_mean_6,0.012296621362211494
Press_mm_hg,0.01143653957692155
T4,0.010443134858896357
T3_x_RH_3,0.009148221238274997
RH_5,0.009137367187604018
RH_out,0.00908416427110015
T3,0.009076632444226925
T8,0.008765583217893077
RH_2,0.008675887325977212
T2,0.008381636469355767
Appliances_lag_6,0.008351100521128843
RH_3,0.008257560148192608
hour_sin,0.008069601436247251
RH_1,0.007913553543359618
Visibility,0.007870502539289932
T1_x_RH_1,0.00784995343167383
Windspeed,0.007773539990784672
RH_6,0.007728767159943419
RH_9,0.0076609191507857515
temp_gradient,0.007519517175647343
T6,0.007506713274312297
T1,0.0072073264229266356
hour_cos,0.007192468755498681
RH_8,0.007081946945561555
T7,0.007081249034242219
T5,0.007079079314463723
RH_7,0.006995733058606704
T2_x_RH_2,0.006847665535051234
T9,0.006441223670844947
Tdewpoint,0.006178293700283508
day,0.006136943790935066
T_out,0.005856138846864046
RH_4,0.005810348153873201
T_out_x_RH_out,0.005514709728459122
dow_sin,0.0031261247205831085
hour,0.002859655874723223
dayofweek,0.0023901509975584323
Day_of_week,0.0021071417441130584
dow_cos,0.0020685947383831146
month_sin,0.0009627092881427569
month_cos,0.0008073965543838402
month,0.0007075596831154897
is_weekend,0.0003413555582883608
lights,0.0
