model,seq_len,hidden_size,num_layers,dropout,lr,batch_size,optimizer,activation,MAE,RMSE,MAPE,R2,epochs_used
gru,12,64,2,0.3,0.001,128,rmsprop,relu,27.5895,59.4303,27.8762,0.6216,20
gru,12,96,2,0.2,0.001,128,rmsprop,relu,25.3437,59.4666,22.0747,0.6212,19
gru,12,64,2,0.2,0.001,128,rmsprop,relu,25.9266,59.5827,23.9511,0.6197,20
gru,12,96,2,0.3,0.001,128,rmsprop,relu,25.842,59.7732,22.8815,0.6172,20
gru,12,96,2,0.3,0.001,128,adam,relu,26.5187,60.0483,25.2973,0.6137,20
gru,12,64,2,0.3,0.001,128,adam,relu,26.9672,60.1292,24.5769,0.6127,20
gru,12,96,2,0.2,0.001,128,adam,relu,26.9753,60.7552,24.4735,0.6046,20
gru,12,96,2,0.2,0.0005,128,adam,relu,26.4342,60.849,24.0007,0.6033,20
gru,12,96,2,0.2,0.0005,128,rmsprop,relu,26.788,60.9134,24.5576,0.6025,20
gru,12,96,1,0.3,0.001,128,rmsprop,relu,28.1327,61.085,27.9129,0.6003,14
gru,12,64,2,0.3,0.0005,128,adam,relu,27.2969,61.1886,25.5434,0.5989,20
gru,12,64,1,0.3,0.0005,128,rmsprop,relu,27.0169,61.2919,25.3904,0.5975,15
gru,12,64,2,0.2,0.0005,128,adam,relu,27.1257,61.3835,25.4357,0.5963,18
gru,12,64,2,0.2,0.001,128,adam,relu,26.3613,61.3967,23.482,0.5962,20
gru,12,96,1,0.3,0.0005,128,adam,relu,27.7103,61.5276,25.9112,0.5944,12
gru,12,64,1,0.2,0.001,128,rmsprop,relu,28.1579,61.5367,27.0921,0.5943,11
gru,12,64,1,0.2,0.0005,128,rmsprop,relu,27.404,61.539,26.0328,0.5943,12
gru,12,96,2,0.3,0.0005,128,adam,relu,27.1127,61.5536,24.6921,0.5941,17
gru,12,64,1,0.2,0.001,128,adam,relu,26.4924,61.5932,23.8674,0.5936,11
gru,12,64,1,0.3,0.001,128,adam,relu,27.7233,61.6173,27.1142,0.5933,12
gru,12,64,2,0.3,0.0005,128,rmsprop,relu,27.2042,61.6351,24.8451,0.593,20
gru,12,64,1,0.2,0.0005,128,adam,relu,28.601,61.6418,28.2954,0.5929,13
gru,12,96,1,0.2,0.0005,128,rmsprop,relu,28.3579,61.6787,27.6994,0.5924,19
gru,12,96,1,0.3,0.0005,128,rmsprop,relu,27.439,61.6866,25.9679,0.5923,11
gru,12,96,2,0.3,0.0005,128,rmsprop,relu,27.294,61.7538,25.5254,0.5915,12
gru,12,64,2,0.2,0.0005,128,rmsprop,relu,27.7789,61.8292,27.1268,0.5905,11
gru,12,96,1,0.2,0.001,128,rmsprop,relu,28.7524,61.8606,27.1001,0.59,11
gru,12,64,1,0.3,0.0005,128,adam,relu,27.5743,61.8662,25.4131,0.59,14
gru,12,64,1,0.3,0.001,128,rmsprop,relu,27.7588,61.8953,26.5682,0.5896,10
gru,12,96,1,0.2,0.0005,128,adam,relu,28.3797,61.9975,27.7803,0.5882,13
gru,12,96,1,0.3,0.001,128,adam,relu,28.8194,62.2001,27.1832,0.5855,13
gru,12,96,1,0.2,0.001,128,adam,relu,27.2122,62.2101,24.7781,0.5854,13
