model,seq_len,hidden_size,num_layers,dropout,lr,batch_size,optimizer,activation,MAE,RMSE,MAPE,R2,epochs_used
gru,6,96,2,0.1,0.001,64,adam,relu,28.4314,60.0917,28.8789,0.6123,15
gru,18,64,2,0.3,0.0005,64,rmsprop,relu,25.8525,60.1346,23.4466,0.6134,22
gru,18,96,2,0.3,0.0005,64,rmsprop,tanh,26.5657,60.9006,24.6124,0.6035,23
gru,6,64,2,0.1,0.001,64,adam,relu,26.8722,61.0667,24.8224,0.5997,12
gru,6,64,2,0.2,0.0003,256,adam,tanh,27.0835,61.2614,25.5895,0.5971,25
gru,12,32,1,0.1,0.0005,128,rmsprop,tanh,28.5487,61.4584,28.0848,0.5954,22
gru,6,64,1,0.3,0.0003,64,rmsprop,tanh,28.2532,61.5785,26.9943,0.5929,17
gru,18,64,2,0.3,0.001,256,adam,relu,27.7773,61.6384,25.985,0.5938,23
lstm,6,32,1,0.1,0.0005,64,adam,relu,26.8473,61.7805,24.7149,0.5903,13
gru,12,64,1,0.3,0.0005,256,adam,relu,26.7304,61.8179,24.4127,0.5906,19
lstm,6,32,2,0.1,0.001,128,adam,tanh,29.3351,61.8371,29.4983,0.5895,13
gru,6,32,2,0.2,0.0005,64,adam,tanh,28.2152,61.8558,28.0378,0.5892,15
gru,12,32,2,0.3,0.001,256,adam,tanh,27.3132,61.9222,24.7121,0.5892,20
lstm,6,64,2,0.1,0.001,256,rmsprop,tanh,26.8607,61.9688,24.0313,0.5877,10
lstm,6,96,1,0.3,0.0005,128,rmsprop,tanh,27.8993,61.9844,27.5508,0.5875,11
gru,18,96,2,0.3,0.0003,128,rmsprop,tanh,29.2687,62.0806,29.5664,0.588,16
lstm,18,32,2,0.2,0.0003,128,rmsprop,relu,27.4949,62.2036,25.0921,0.5863,25
lstm,18,64,1,0.3,0.0005,256,adam,tanh,28.5596,62.2568,27.6853,0.5856,17
lstm,6,96,1,0.1,0.0003,128,adam,tanh,27.9918,62.3855,25.7513,0.5822,16
lstm,6,32,1,0.1,0.001,256,adam,relu,28.1027,62.5456,26.9165,0.58,14
